e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
-1.7580993,-1.0780119,11.323382,1.4955753,8.362911,2.4339824,-1.7580993,5.767043,0.95359147,10.476024,1.79163,2.4485786,0.93800014,-1.7580919,4.5273786
-1.7533332,7.763276,7.5464544,4.899509,8.00698,2.2821908,-1.7580992,3.4913151,2.0733624,5.4357333,3.297145,3.5362396,8.834803,-1.7580787,3.6931093
-1.7580993,1.4564395,6.1024985,7.407642,11.659319,2.9732375,-1.7580993,0.1621946,-0.36974478,1.6940111,8.91011,5.7739816,2.662889,-1.7580334,0.8278546
-1.7580993,1.9332154,1.7742543,4.7455444,7.364124,3.882002,-1.7580993,-1.4872746,2.222432,2.994295,9.453466,5.6668124,4.790111,-1.7577076,1.3640791
-1.7580993,-0.3159242,3.7602825,4.043714,7.1519737,2.1450381,-1.7580993,2.9781585,1.2776989,1.2257941,4.954513,0.25548464,4.1217647,-1.7069858,1.0407624
-1.7580993,3.556173,7.3124228,1.9861151,18.571512,5.1064634,-1.7580993,1.2078595,0.8331767,5.525198,7.537507,6.721168,8.560982,-1.7580986,6.5231233
-1.7580993,5.1198797,1.6253846,9.68634,6.7845573,4.476566,-1.7580984,4.0458245,0.06606881,3.7157354,4.6683335,2.6368506,6.43967,-1.7575364,7.5778184
-1.7580993,-1.0971515,4.4687304,0.08223939,10.90253,5.6467776,-1.7580993,-1.478926,-0.31774944,4.6271467,7.495625,4.120897,5.6381736,-1.7577342,5.497925
-1.7580993,1.2399668,2.5907462,-1.4286977,6.5752497,1.5901586,-1.7580942,-0.46414733,-0.894456,5.4921412,-0.87761486,2.779512,0.91710424,-1.7578104,3.3556223
-1.7573014,3.2498908,2.5053596,0.23101018,7.1277194,2.410502,-1.7580993,4.0561347,0.5182169,11.610485,7.0078025,2.1311107,6.133993,-1.7579097,5.1755295
-1.7580993,3.7052662,10.232294,5.529044,15.193288,5.791568,-1.7580993,10.435099,1.8995193,9.0183525,14.926223,8.925213,7.884327,-1.758099,11.499145
-1.758099,2.5941255,8.770764,1.5911996,3.0010471,1.0717657,-1.7580992,4.1597533,5.3303785,9.358301,5.8590803,2.8995721,8.047863,-1.7551334,9.395735
-1.7580993,3.8705225,5.238978,0.53031355,14.151238,6.8479156,-1.7580993,3.3414135,3.3335755,7.164878,8.380131,1.334014,13.544897,-1.7580748,6.426004
-1.7580993,3.2608871,1.033246,2.387113,9.970816,3.0323298,-1.7580993,2.143898,0.8541447,1.4503052,8.124486,1.1737163,4.556742,-1.7377117,-0.5376886
-1.7578589,4.9475822,6.886665,3.9734964,10.658123,5.9113793,-1.7580993,4.7033286,1.1193193,5.6882534,5.3960104,5.7231903,7.4821777,-1.7580984,8.559314
-1.7580993,2.15497,6.443048,3.1666381,1.6291993,2.267551,-1.7580462,2.5585127,-0.4669117,4.7321677,8.46701,-1.4445572,6.4857645,-1.745453,7.4903846
-1.7580993,2.8859956,6.452184,2.9011023,17.102964,4.7390795,-1.7580993,0.13342397,1.0323621,6.6279793,11.463088,6.8015776,8.545072,-1.758098,6.9282994
-1.7579975,4.644292,-1.1433156,8.30097,8.327811,1.8371376,-1.7580993,7.679317,-0.101939,2.0754335,8.117379,4.3885818,6.400203,-1.7580491,7.4836736
-1.7580993,2.6665287,5.1799,7.2449703,12.504162,2.2573466,-1.7580993,1.1898406,2.0935538,0.81996375,9.000974,3.0997162,1.5908526,-1.7580916,2.8910613
-1.7580715,7.319839,3.6675,7.135065,11.939865,4.7863693,-1.7580993,6.560046,-1.1887165,6.4557953,9.308991,8.779123,9.88906,-1.7580919,8.316544
-1.7580919,1.809208,9.95397,4.284915,11.51407,1.9125822,-1.7580993,5.240832,0.68142337,0.9913248,6.6358976,5.381478,6.305389,-1.7580218,10.806414
-1.7580122,5.583281,1.8401804,4.337615,9.512177,4.556622,-1.7580993,1.7123976,-0.64306164,1.1342312,4.2498565,5.65542,9.12753,-1.7573607,8.552933
