,cas_number,vapor pressure,temperature,substantivity,percentage
2189,110-40-7,0.001,25.0,164.0,100.0
2190,123-25-1,0.439,25.0,20.0,100.0
2193,19139-31-2,2e-05,25.0,128.0,100.0
2195,15356-74-8,0.001,25.0,298.0,100.0
2196,104-45-0,0.266,25.0,4.0,100.0
2201,20777-49-5,0.057,25.0,32.0,100.0
2205,20780-49-8,0.104,25.0,12.0,100.0
2208,22810-10-2,0.331,25.0,64.0,100.0
2220,2785-87-7,0.006,25.0,72.0,100.0
2224,51411-24-6,6e-05,25.0,0.5,100.0
2233,31499-72-6,0.023,25.0,0.5,100.0
2234,17283-81-7,0.01,25.0,9.0,100.0
2235,37172-53-5,0.001,25.0,124.0,100.0
2240,40853-53-0,0.077,25.0,8.0,100.0
2241,40853-56-3,0.029,25.0,16.0,100.0
2243,18479-51-1,0.019,25.0,12.0,100.0
2256,18479-58-8,0.166,25.0,16.0,100.0
2258,53767-93-4,0.027,25.0,4.0,100.0
2264,498-81-7,0.039,25.0,8.0,100.0
2265,58985-18-5,0.103,25.0,4.0,100.0
2266,80-25-1,0.103,25.0,12.0,100.0
2280,91-10-1,0.00617,25.0,356.0,100.0
2281,89-74-7,0.063,25.0,400.0,100.0
2283,85-91-6,0.007,25.0,48.0,100.0
2289,100-86-7,0.089,25.0,6.0,100.0
2291,10094-34-5,0.002,25.0,100.0,100.0
2294,10058-43-2,0.015,25.0,72.0,100.0
2296,67785-77-7,0.005,25.0,100.0,100.0
2311,67634-16-6,0.103,25.0,40.0,100.0
2312,67634-25-7,0.085,25.0,24.0,100.0
2317,67634-22-4,0.1,25.0,4.0,100.0
2329,151-10-0,0.528,25.0,64.0,100.0
2331,150-78-7,0.25,25.0,76.0,100.0
2335,68555-94-2,0.001,25.0,0.5,100.0
2336,68459-99-4,0.001,25.0,128.0,100.0
2337,72117-72-7,0.001,25.0,96.0,100.0
2345,70214-77-6,0.03,25.0,56.0,100.0
2348,106-21-8,0.039,25.0,24.0,100.0
2349,151-19-9,0.072,25.0,12.0,100.0
2355,2550-11-0,0.194,25.0,4.0,100.0
2369,106-65-0,0.422,25.0,11.0,100.0
2382,18479-58-8,0.166,25.0,0.5,100.0
2386,68956-56-9,0.02,25.0,8.0,100.0
2388,101-81-5,0.016,25.0,24.0,100.0
2403,713-95-1,0.002,25.0,336.0,100.0
2405,2305-05-7,0.002,25.0,400.0,100.0
2406,112-54-9,0.034,25.0,368.0,100.0
2408,14620-52-1,0.015,25.0,12.0,100.0
2411,2437-25-4,0.005,25.0,240.0,100.0
2412,112-53-8,0.00084,25.0,400.0,100.0
2416,4826-62-4,0.01,25.0,0.5,100.0
2423,112-66-3,0.009,25.0,238.0,100.0
2436,54484-73-0,0.566,25.0,6.0,100.0
2437,1006-27-5,0.201,25.0,48.0,100.0
2475,6931-54-0,0.422,25.0,6.0,100.0
2484,140-67-0,0.21,25.0,8.0,100.0
2496,141-97-9,0.89,25.0,4.0,100.0
2505,7335-26-4,0.014,25.0,268.0,100.0
2507,87-25-2,0.01,25.0,28.0,100.0
2511,93-89-0,0.267,25.0,12.0,100.0
2512,94-02-0,0.008,25.0,346.0,100.0
2521,88-09-5,0.188,25.0,124.0,100.0
2523,103-36-6,0.00327,25.0,400.0,100.0
2539,3025-30-7,0.01,25.0,0.5,100.0
2540,110-38-3,0.034,25.0,44.0,100.0
2542,7367-88-6,0.017,25.0,0.5,100.0
2543,76649-16-6,0.047,25.0,8.0,100.0
2553,607-97-6,0.554,25.0,2.0,100.0
2566,10031-90-0,0.148,25.0,68.0,100.0
2568,32659-21-5,0.009,25.0,0.5,100.0
2570,2785-89-9,0.017,25.0,304.0,100.0
2571,106-30-9,0.68,25.0,56.0,100.0
2577,104-76-7,0.207,25.0,16.0,100.0
2587,118-60-5,8e-05,25.0,48.0,100.0
2592,2305-25-1,0.006,25.0,0.5,100.0
2601,106-33-2,0.007,25.0,216.0,100.0
2602,539-88-8,0.249,25.0,4.0,100.0
2603,10339-55-6,0.005,25.0,12.0,100.0
2604,40910-49-4,0.009,25.0,24.0,100.0
2605,61931-80-4,0.026,25.0,16.0,100.0
2630,52788-71-3,0.002,25.0,312.0,100.0
2638,124-06-1,0.002,25.0,4.0,100.0
2640,123-29-5,0.116,25.0,12.0,100.0
2646,106-32-1,0.224,25.0,4.0,100.0
2649,2351-90-8,0.146,25.0,7.0,100.0
2650,78989-37-4,0.411,25.0,0.5,100.0
2654,111-62-6,3e-05,25.0,0.5,100.0
2662,123-07-9,0.083,25.0,109.0,100.0
2665,101-97-3,0.09,25.0,312.0,100.0
2679,35044-59-8,0.027,25.0,164.0,100.0
2680,118-61-6,0.035,25.0,4.0,100.0
2692,67707-75-9,0.47,25.0,8.0,100.0
2695,692-86-4,0.009,25.0,20.0,100.0
2701,52514-67-7,4e-05,25.0,0.5,100.0
2703,68527-76-4,2e-05,25.0,304.0,100.0
2762,97-53-0,0.01,25.0,52.0,100.0
2763,97-54-1,0.01,25.0,400.0,100.0
2765,93-28-7,0.008,25.0,400.0,100.0
2771,84029-92-5,0.000202,25.0,168.0,100.0
2775,10402-33-2,1e-06,25.0,348.0,100.0
2786,502-72-7,9.9e-05,25.0,320.0,100.0
2802,4602-84-0,0.00037,25.0,400.0,100.0
2808,1632-73-1,0.069,25.0,12.0,100.0
2809,512-13-0,0.069,25.0,12.0,100.0
2811,4695-62-9,0.463,25.0,4.0,100.0
2813,13851-11-1,0.117,25.0,8.0,100.0
2846,68039-69-0,0.012,25.0,41.0,100.0
2862,52557-97-8,0.148,25.0,28.0,100.0
2865,8021-29-2,0.58,25.0,16.0,100.0
2869,137-03-1,0.02,25.0,80.0,100.0
2870,125109-85-5,0.021,25.0,144.0,100.0
2871,68480-15-9,0.066,25.0,28.0,100.0
2872,134123-93-6,0.001,25.0,304.0,100.0
2873,60335-71-9,0.025,25.0,72.0,100.0
2874,63500-71-0,0.006,25.0,24.0,100.0
2877,1322-58-3,0.007,25.0,24.0,100.0
2881,292605-05-1,0.66,25.0,0.5,100.0
2892,59056-70-1,0.000139,25.0,208.0,100.0
2894,52475-89-5,0.006,25.0,0.5,100.0
2922,72403-67-9,0.001,25.0,64.0,100.0
2924,13254-34-7,0.33,25.0,12.0,100.0
2926,93904-56-4,0.007,25.0,24.0,100.0
2931,113889-23-9,0.002,25.0,149.0,100.0
2932,80623-07-0,0.011,25.0,144.0,100.0
2933,65443-14-3,0.026,25.0,12.0,100.0
2934,6290-17-1,0.112,25.0,12.0,100.0
2943,1438-94-4,0.024,25.0,24.0,100.0
2954,16356-11-9,0.336,25.0,104.0,100.0
2961,59323-76-1,0.123,25.0,56.0,100.0
2963,68901-15-5,0.003,25.0,32.0,100.0
2966,56973-85-4,0.008,25.0,348.0,100.0
2968,5182-36-5,0.007,25.0,68.0,100.0
2971,34131-98-1,0.005,25.0,140.0,100.0
2973,122-73-6,0.101,25.0,12.0,100.0
2974,68083-58-9,0.001,25.0,52.0,100.0
2984,29214-60-6,0.018,25.0,92.0,100.0
2997,23333-91-7,0.003,25.0,68.0,100.0
3001,459-80-3,0.000373,25.0,272.0,100.0
